<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.09.05	09:00:00	2964.80	2965.14	2949.60	2960.40	11282	0	70
2019.09.05	12:00:00	2960.40	2966.06	2957.92	2961.40	5144	0	70
2019.09.05	15:00:00	2961.40	2985.66	2961.18	2977.80	14986	0	70
2019.09.05	18:00:00	2977.98	2981.06	2971.48	2974.56	10841	0	70
2019.09.05	21:00:00	2974.50	2980.30	2968.70	2969.08	7647	0	70
2019.09.06	00:00:00	2970.42	2977.12	2970.30	2976.46	1725	0	70
2019.09.06	03:00:00	2976.46	2981.18	2974.70	2978.34	6439	0	70
2019.09.06	06:00:00	2978.12	2979.76	2974.68	2976.02	3486	0	70
2019.09.06	09:00:00	2976.04	2982.62	2973.30	2978.02	6772	0	70
2019.09.06	12:00:00	2977.82	2984.86	2976.04	2983.16	7377	0	70
2019.09.06	15:00:00	2983.02	2987.16	2971.42	2981.42	18418	0	70
2019.09.06	18:00:00	2981.42	2984.52	2974.90	2983.42	10596	0	70
2019.09.06	21:00:00	2983.42	2984.42	2975.86	2979.56	5458	0	70
2019.09.09	00:00:00	2982.08	2984.44	2980.90	2981.04	1785	0	70
2019.09.09	03:00:00	2981.10	2988.12	2980.00	2985.68	6479	0	70
2019.09.09	06:00:00	2985.68	2986.94	2984.46	2985.94	2170	0	70
2019.09.09	09:00:00	2985.94	2987.84	2983.72	2985.84	4687	0	70
2019.09.09	12:00:00	2985.84	2988.98	2985.24	2988.94	3074	0	70
2019.09.09	15:00:00	2988.70	2990.84	2979.96	2985.58	11395	0	70
2019.09.09	18:00:00	2985.58	2986.18	2968.50	2975.08	11182	0	70
2019.09.09	21:00:00	2975.06	2979.34	2971.26	2978.44	8217	0	70
2019.09.10	00:00:00	2979.20	2982.00	2978.10	2981.74	1319	0	70
2019.09.10	03:00:00	2981.74	2984.24	2974.32	2975.60	5496	0	70
2019.09.10	06:00:00	2975.54	2977.00	2972.68	2974.40	2986	0	70
2019.09.10	09:00:00	2974.40	2976.00	2964.98	2967.80	6675	0	70
2019.09.10	12:00:00	2967.82	2977.64	2967.56	2972.70	5817	0	70
2019.09.10	15:00:00	2972.70	2974.20	2956.84	2959.60	16238	0	70
2019.09.10	18:00:00	2959.30	2974.94	2957.98	2968.44	16938	0	70
2019.09.10	21:00:00	2968.44	2980.00	2962.10	2978.34	9210	0	70
2019.09.11	00:00:00	2977.50	2978.10	2974.90	2976.76	1555	0	70
2019.09.11	03:00:00	2976.62	2976.76	2971.52	2975.38	5769	0	70
2019.09.11	06:00:00	2975.36	2986.34	2975.30	2980.76	6490	0	70
2019.09.11	09:00:00	2980.76	2984.02	2976.30	2980.02	8827	0	70
2019.09.11	12:00:00	2979.72	2983.56	2974.50	2983.02	5996	0	70
2019.09.11	15:00:00	2982.90	2987.76	2974.32	2987.42	14337	0	70
2019.09.11	18:00:00	2987.42	2996.22	2985.98	2993.12	8853	0	70
2019.09.11	21:00:00	2993.12	3003.36	2990.16	3001.50	6152	0	70
2019.09.12	00:00:00	3002.00	3019.00	3000.90	3017.32	4632	0	70
2019.09.12	03:00:00	3017.10	3017.98	3010.50	3013.18	7267	0	70
2019.09.12	06:00:00	3013.18	3017.68	3006.70	3007.02	4047	0	70
2019.09.12	09:00:00	3007.04	3011.42	3004.48	3005.62	9025	0	70
2019.09.12	12:00:00	3005.64	3011.72	3001.50	3008.72	6647	0	70
2019.09.12	15:00:00	3008.72	3019.32	3000.10	3004.48	24212	0	70
2019.09.12	18:00:00	3004.24	3020.14	3002.62	3018.12	11841	0	70
2019.09.12	21:00:00	3018.12	3020.42	3007.14	3007.48	6733	0	70
2019.09.13	00:00:00	3010.72	3013.22	3010.52	3012.96	1269	0	70
2019.09.13	03:00:00	3013.06	3015.32	3009.90	3013.46	4626	0	70
2019.09.13	06:00:00	3013.46	3016.96	3013.12	3015.70	2304	0	70
2019.09.13	09:00:00	3015.82	3019.56	3013.90	3014.70	4954	0	70
2019.09.13	12:00:00	3014.68	3022.28	3013.76	3019.06	4544	0	70
2019.09.13	15:00:00	3019.06	3020.06	3008.06	3013.82	14046	0	70
2019.09.13	18:00:00	3013.78	3017.06	3005.62	3006.82	10478	0	70
2019.09.13	21:00:00	3006.78	3009.44	3002.04	3005.32	8526	0	70
2019.09.16	00:00:00	2984.70	2995.72	2984.08	2987.78	3851	0	69
2019.09.16	03:00:00	2987.92	2988.86	2979.22	2987.08	9511	0	70
2019.09.16	06:00:00	2987.06	2990.48	2984.48	2989.72	3526	0	70
2019.09.16	09:00:00	2989.72	2995.58	2988.82	2992.20	8656	0	70
2019.09.16	12:00:00	2992.18	2995.32	2987.22	2994.92	7390	0	70
2019.09.16	15:00:00	2995.04	3001.18	2991.82	2994.94	17502	0	70
2019.09.16	18:00:00	2994.92	3000.18	2989.02	2997.12	14175	0	70
2019.09.16	21:00:00	2997.08	3000.56	2994.46	3000.08	7409	0	70
2019.09.17	00:00:00	3001.54	3002.84	2999.40	2999.88	1837	0	70
2019.09.17	03:00:00	2999.88	3000.98	2992.98	2995.88	6488	0	70
2019.09.17	06:00:00	2995.88	2996.74	2991.70	2992.64	2964	0	70
2019.09.17	09:00:00	2992.58	2999.48	2991.62	2995.46	7207	0	70
2019.09.17	12:00:00	2995.46	2998.50	2991.98	2997.00	5370	0	69
2019.09.17	15:00:00	2997.00	2998.98	2989.96	2994.94	16801	0	70
2019.09.17	18:00:00	2994.94	3000.88	2994.30	2997.98	8920	0	70
2019.09.17	21:00:00	2998.04	3004.98	2996.20	3003.86	6555	0	70
2019.09.18	00:00:00	3003.94	3004.58	3002.36	3003.08	1364	0	70
2019.09.18	03:00:00	3003.06	3003.40	3000.30	3001.54	3069	0	70
2019.09.18	06:00:00	3001.48	3002.14	2998.64	3000.40	2135	0	70
2019.09.18	09:00:00	3000.30	3003.14	2998.50	3000.30	3528	0	70
2019.09.18	12:00:00	3000.16	3001.04	2996.50	2998.40	2780	0	70
2019.09.18	15:00:00	2998.30	3001.54	2993.98	2997.50	7176	0	70
2019.09.18	18:00:00	2997.54	2997.90	2991.18	2996.32	5396	0	70
2019.09.18	21:00:00	2996.30	3008.50	2977.10	3005.76	22168	0	70
2019.09.19	00:00:00	3006.48	3006.66	3002.48	3002.74	1984	0	70
2019.09.19	03:00:00	3002.74	3006.74	2997.10	2997.72	5979	0	70
2019.09.19	06:00:00	2997.72	2998.24	2993.62	2996.94	4954	0	70
2019.09.19	09:00:00	2997.14	3001.64	2987.08	2999.74	7154	0	70
2019.09.19	12:00:00	2999.74	3001.76	2996.00	3000.64	4296	0	70
2019.09.19	15:00:00	3000.22	3019.88	3000.20	3016.44	10058	0	70
2019.09.19	18:00:00	3016.44	3020.94	3006.16	3012.14	9472	0	70
2019.09.19	21:00:00	3011.98	3012.98	3001.40	3003.66	8449	0	70
2019.09.20	00:00:00	3004.16	3008.06	3002.90	3007.06	1499	0	70
2019.09.20	03:00:00	3007.06	3009.46	3002.24	3007.96	5096	0	70
2019.09.20	06:00:00	3007.96	3008.82	3004.22	3004.46	2548	0	70
2019.09.20	09:00:00	3004.10	3010.96	3004.10	3007.56	4461	0	70
2019.09.20	12:00:00	3007.40	3013.56	3007.12	3011.56	4036	0	70
2019.09.20	15:00:00	3011.32	3014.98	3007.10	3010.56	11411	0	70
2019.09.20	18:00:00	3010.34	3011.72	2982.10	2994.52	14666	0	70
2019.09.20	21:00:00	2994.38	3000.02	2985.18	2986.26	11535	0	70
2019.09.23	00:00:00	3001.42	3004.76	2995.70	3000.24	2746	0	70
2019.09.23	03:00:00	3000.10	3003.52	2996.56	2998.32	4696	0	70
2019.09.23	06:00:00	2998.00	3000.04	2997.26	2999.82	2612	0	70
2019.09.23	09:00:00	2999.82	3003.02	2979.60	2980.72	9099	0	70
2019.09.23	12:00:00	2980.72	2989.36	2980.10	2986.02	5258	0	70
2019.09.23	15:00:00	2985.80	2992.32	2980.90	2985.36	12375	0	70
2019.09.23	18:00:00	2985.54	2996.22	2985.10	2995.62	8602	0	70
