<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.18	06:00:00	8309.70	8315.20	8304.10	8311.95	2426	0	121
2019.11.18	09:00:00	8311.95	8352.20	8310.47	8330.05	8688	0	125
2019.11.18	12:00:00	8330.05	8337.80	8322.02	8336.30	3667	0	129
2019.11.18	15:00:00	8335.60	8336.55	8270.64	8299.80	20233	0	120
2019.11.18	18:00:00	8299.80	8326.80	8291.64	8323.05	13138	0	120
2019.11.18	21:00:00	8323.05	8337.30	8313.76	8325.80	9250	0	120
2019.11.19	00:00:00	8321.45	8325.45	8309.84	8314.25	2293	0	125
2019.11.19	03:00:00	8313.90	8341.65	8308.79	8332.90	4913	0	120
2019.11.19	06:00:00	8332.90	8345.15	8330.70	8341.95	2448	0	145
2019.11.19	09:00:00	8341.34	8362.15	8336.37	8360.75	6890	0	125
2019.11.19	12:00:00	8360.75	8369.90	8355.90	8361.40	3879	0	125
2019.11.19	15:00:00	8361.15	8362.65	8304.15	8309.07	18313	0	120
2019.11.19	18:00:00	8309.21	8347.40	8308.40	8338.65	18596	0	120
2019.11.19	21:00:00	8338.65	8354.40	8326.15	8326.20	8809	0	120
2019.11.20	00:00:00	8319.40	8321.35	8303.40	8313.35	3460	0	120
2019.11.20	03:00:00	8313.35	8314.85	8287.16	8298.15	7325	0	122
2019.11.20	06:00:00	8298.35	8309.10	8297.90	8303.85	2697	0	125
2019.11.20	09:00:00	8302.77	8315.35	8280.16	8295.25	9656	0	120
2019.11.20	12:00:00	8294.90	8306.60	8279.32	8299.85	5895	0	120
2019.11.20	15:00:00	8299.40	8336.10	8294.58	8330.85	19033	0	120
2019.11.20	18:00:00	8330.85	8334.85	8219.26	8254.15	20952	0	120
2019.11.20	21:00:00	8253.90	8282.40	8240.65	8277.55	14621	0	120
2019.11.21	00:00:00	8247.65	8265.25	8235.29	8237.25	5245	0	120
2019.11.21	03:00:00	8237.50	8279.25	8228.85	8258.90	12903	0	120
