<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.08	15:00:00	98.32	98.35	98.26	98.34	477	0	0
2019.11.08	18:00:00	98.33	98.40	98.33	98.36	296	0	0
2019.11.08	21:00:00	98.35	98.39	98.35	98.39	167	0	0
2019.11.11	00:00:00	98.37	98.37	98.34	98.36	128	0	0
2019.11.11	03:00:00	98.37	98.38	98.33	98.34	326	0	0
2019.11.11	06:00:00	98.33	98.34	98.31	98.31	235	0	0
2019.11.11	09:00:00	98.32	98.34	98.26	98.27	316	0	0
2019.11.11	12:00:00	98.28	98.28	98.14	98.16	343	0	0
2019.11.11	15:00:00	98.15	98.22	98.13	98.21	289	0	0
2019.11.11	18:00:00	98.20	98.21	98.16	98.17	250	0	0
2019.11.11	21:00:00	98.18	98.22	98.16	98.21	234	0	0
2019.11.12	00:00:00	98.22	98.22	98.20	98.22	67	0	0
2019.11.12	03:00:00	98.21	98.28	98.21	98.23	275	0	0
2019.11.12	06:00:00	98.22	98.24	98.21	98.23	220	0	0
2019.11.12	09:00:00	98.22	98.35	98.22	98.29	366	0	0
2019.11.12	12:00:00	98.28	98.40	98.25	98.35	326	0	0
2019.11.12	15:00:00	98.34	98.42	98.28	98.39	372	0	0
2019.11.12	18:00:00	98.38	98.38	98.27	98.32	371	0	0
2019.11.12	21:00:00	98.33	98.37	98.30	98.36	258	0	0
2019.11.13	00:00:00	98.35	98.36	98.31	98.33	131	0	0
2019.11.13	03:00:00	98.32	98.35	98.29	98.34	297	0	0
2019.11.13	06:00:00	98.33	98.34	98.30	98.33	255	0	0
2019.11.13	09:00:00	98.32	98.45	98.32	98.32	357	0	0
2019.11.13	12:00:00	98.33	98.41	98.29	98.38	398	0	0
2019.11.13	15:00:00	98.37	98.40	98.29	98.33	415	0	0
2019.11.13	18:00:00	98.32	98.41	98.30	98.38	235	0	0
2019.11.13	21:00:00	98.37	98.39	98.31	98.35	305	0	0
2019.11.14	00:00:00	98.34	98.37	98.31	98.34	119	0	0
2019.11.14	03:00:00	98.33	98.39	98.32	98.36	240	0	0
2019.11.14	06:00:00	98.35	98.42	98.34	98.41	195	0	0
2019.11.14	09:00:00	98.40	98.42	98.29	98.33	330	0	0
2019.11.14	12:00:00	98.32	98.42	98.32	98.37	352	0	0
2019.11.14	15:00:00	98.36	98.40	98.33	98.34	317	0	0
2019.11.14	18:00:00	98.33	98.35	98.15	98.17	289	0	0
2019.11.14	21:00:00	98.16	98.19	98.11	98.17	241	0	0
2019.11.15	00:00:00	98.18	98.18	98.14	98.15	62	0	0
2019.11.15	03:00:00	98.16	98.16	98.12	98.14	215	0	0
2019.11.15	06:00:00	98.13	98.17	98.13	98.16	192	0	0
2019.11.15	09:00:00	98.15	98.23	98.15	98.20	306	0	0
2019.11.15	12:00:00	98.21	98.21	98.11	98.12	386	0	0
2019.11.15	15:00:00	98.13	98.13	97.96	98.00	324	0	0
2019.11.15	18:00:00	98.01	98.06	97.97	97.97	319	0	0
2019.11.15	21:00:00	97.98	98.00	97.97	98.00	237	0	0
2019.11.18	00:00:00	97.98	97.98	97.94	97.94	165	0	0
2019.11.18	03:00:00	97.95	97.96	97.90	97.91	179	0	0
2019.11.18	06:00:00	97.90	97.95	97.90	97.91	148	0	0
2019.11.18	09:00:00	97.92	97.95	97.87	97.91	478	0	0
2019.11.18	12:00:00	97.90	97.96	97.87	97.94	301	0	0
2019.11.18	15:00:00	97.95	97.96	97.81	97.81	409	0	0
2019.11.18	18:00:00	97.80	97.81	97.68	97.75	254	0	0
2019.11.18	21:00:00	97.76	97.83	97.75	97.82	239	0	0
2019.11.19	00:00:00	97.81	97.83	97.79	97.82	92	0	0
2019.11.19	03:00:00	97.83	97.86	97.80	97.80	320	0	0
2019.11.19	06:00:00	97.81	97.81	97.76	97.78	166	0	0
2019.11.19	09:00:00	97.77	97.88	97.75	97.87	319	0	0
2019.11.19	12:00:00	97.86	97.89	97.79	97.82	253	0	0
2019.11.19	15:00:00	97.83	97.84	97.76	97.77	349	0	0
2019.11.19	18:00:00	97.76	97.85	97.76	97.82	315	0	0
2019.11.19	21:00:00	97.81	97.87	97.81	97.85	165	0	0
2019.11.20	00:00:00	97.84	97.86	97.83	97.85	90	0	0
2019.11.20	03:00:00	97.86	97.92	97.85	97.88	143	0	0
2019.11.20	06:00:00	97.89	97.91	97.77	97.79	299	0	0
2019.11.20	09:00:00	97.79	97.91	97.77	97.85	968	0	2
2019.11.20	12:00:00	97.85	97.92	97.83	97.90	800	0	2
2019.11.20	15:00:00	97.90	97.92	97.73	97.83	1496	0	2
2019.11.20	18:00:00	97.83	97.89	97.77	97.82	1291	0	2
2019.11.20	21:00:00	97.81	97.83	97.77	97.79	864	0	2
2019.11.21	03:00:00	97.79	97.79	97.74	97.77	410	0	2
2019.11.21	06:00:00	97.78	97.80	97.76	97.79	153	0	2
2019.11.21	09:00:00	97.79	97.82	97.67	97.69	1024	0	2
2019.11.21	12:00:00	97.69	97.73	97.64	97.66	830	0	2
2019.11.21	15:00:00	97.65	97.85	97.61	97.76	1434	0	2
2019.11.21	18:00:00	97.75	97.92	97.75	97.90	806	0	2
2019.11.21	21:00:00	97.91	97.94	97.87	97.88	342	0	2
2019.11.22	03:00:00	97.88	97.88	97.84	97.86	252	0	2
2019.11.22	06:00:00	97.85	97.86	97.79	97.80	175	0	2
2019.11.22	09:00:00	97.81	97.95	97.70	97.90	1736	0	2
2019.11.22	12:00:00	97.91	97.95	97.86	97.93	739	0	2
2019.11.22	15:00:00	97.93	98.11	97.89	98.09	1473	0	2
2019.11.22	18:00:00	98.09	98.18	98.09	98.13	853	0	2
2019.11.22	21:00:00	98.14	98.21	98.12	98.18	472	0	2
2019.11.25	03:00:00	98.17	98.19	98.14	98.18	268	0	2
2019.11.25	06:00:00	98.19	98.19	98.13	98.14	294	0	2
2019.11.25	09:00:00	98.15	98.21	98.08	98.19	1021	0	2
2019.11.25	12:00:00	98.19	98.24	98.18	98.23	467	0	2
2019.11.25	15:00:00	98.22	98.29	98.10	98.21	1293	0	2
2019.11.25	18:00:00	98.21	98.27	98.19	98.24	790	0	2
2019.11.25	21:00:00	98.24	98.25	98.20	98.21	381	0	2
2019.11.26	03:00:00	98.25	98.27	98.20	98.22	409	0	2
2019.11.26	06:00:00	98.22	98.23	98.19	98.21	200	0	2
2019.11.26	09:00:00	98.21	98.25	98.18	98.24	824	0	2
2019.11.26	12:00:00	98.24	98.25	98.20	98.21	800	0	2
